time,UNIFORM,G1_Espildora1979,G2_Espildora1979,G3_Espildora1979,G1_Benitez1985,G2_Benitez1985,G3_Benitez1985,G1_Varas1985,G2_Varas1985,G3_Varas1985,G4_Varas1985,SCS_I24,SCS_IA24,SCS_II6,SCS_II12,SCS_II24,SCS_II48,SCS_III24
0.2,0.19999999999999998,0.3195999999999996,0.1984199999999996,0.16475999999999952,0.4459999999999997,0.1519999999999996,0.0519999999999996,0.3999999999999997,0.27999999999999947,0.24999999999999956,0.2399999999999994,0.0951,0.14760000000000004,0.0584,0.059,0.0598,0.059800000000000006,0.0539
0.22,0.21999999999999997,0.3527428571428567,0.2141571428571424,0.18574285714285663,0.48258643004418217,0.1709336141384384,0.0610927923416785,0.43345939617083906,0.30834506627393166,0.27091278350515413,0.2619578939617077,0.10682000000000001,0.16888,0.06599999999999999,0.06676,0.06756000000000001,0.06748,0.0609
0.24,0.23999999999999996,0.38339047619047567,0.2297428571428566,0.20547619047618992,0.5169968600883647,0.19076322827687722,0.0709695846833574,0.46403879234167844,0.33669013254786373,0.2909455670103086,0.282955787923416,0.1189,0.19199999999999998,0.07392,0.07518,0.07572,0.07516,0.0682
0.26,0.25999999999999995,0.4124857142857138,0.2456476190476185,0.2240476190476184,0.5494140751104558,0.21152603534609662,0.0815999808541968,0.49188849042709815,0.36486266568482983,0.3105219587628859,0.30297473490427024,0.13146000000000002,0.21792000000000003,0.08232,0.08426000000000002,0.08436,0.08380000000000003,0.07598
0.28,0.27999999999999997,0.4399857142857138,0.26195714285714233,0.24179999999999932,0.5800208600883644,0.23325922827687712,0.0929535846833573,0.5171587923416785,0.3926901325478637,0.3300655670103086,0.32199578792341593,0.14626000000000003,0.2484000000000001,0.09128000000000001,0.09338,0.09348000000000001,0.09340000000000001,0.08480000000000001
0.3,0.3,0.4657952380952375,0.27879523809523754,0.25875238095238023,0.6089999999999991,0.25599999999999934,0.10499999999999929,0.5399999999999994,0.41999999999999915,0.3499999999999992,0.33999999999999914,0.1633,0.28480000000000005,0.101,0.1026,0.103,0.10300000000000001,0.0948
0.32,0.32,0.4909499999999994,0.29657999999999946,0.2751399999999992,0.6365112518409415,0.27975258910161926,0.11773634756995509,0.560618173784977,0.4467577614138428,0.3705859793814424,0.35701558173784875,0.18152000000000001,0.35140000000000005,0.11166000000000001,0.11274,0.11308000000000001,0.11260000000000002,0.10592000000000001
0.34,0.34,0.5145333333333328,0.31529999999999947,0.2910666666666658,0.6626222606774658,0.30438941678939535,0.131269815905743,0.5794424079528712,0.47348101620029354,0.39143268041237017,0.37325937407952775,0.2009,0.4426000000000001,0.12310000000000003,0.12402000000000002,0.12364000000000001,0.12384000000000002,0.11832000000000001
0.36,0.36000000000000004,0.5352285714285707,0.33424285714285645,0.305999999999999,0.6873776435935187,0.32974994992636136,0.14573511045655288,0.596957555228276,0.5008253902798221,0.4119863917525763,0.38899537555228164,0.22784,0.4912,0.13558,0.13684,0.13616,0.13692000000000001,0.13302
0.38,0.38000000000000006,0.5552047619047612,0.3543857142857135,0.32054761904761797,0.7108220176730474,0.35567365537555135,0.161266936671575,0.613648468335787,0.5294465095729,0.4316934020618546,0.40448758468335666,0.26412,0.5272,0.14966000000000004,0.15130000000000002,0.15084000000000003,0.15036000000000002,0.15038000000000004
0.4,0.4000000000000001,0.5747857142857135,0.3760047619047611,0.33456666666666557,0.732999999999999,0.3819999999999991,0.1779999999999991,0.6299999999999992,0.5599999999999987,0.44999999999999896,0.4199999999999989,0.3194,0.5554000000000001,0.1657,0.1681,0.1663,0.16560000000000002,0.1703
0.42,0.4200000000000001,0.5941999999999991,0.39989999999999915,0.34761428571428454,0.7539605625920457,0.4086080294550799,0.19601781737849672,0.6463879086892478,0.5927838880706906,0.4666632989690709,0.43573977908689115,0.5287599999999999,0.58084,0.18395999999999996,0.18797999999999998,0.18427999999999997,0.18452000000000002,0.19299999999999998
